booking_id,date_key,arrival_date,channel_key,segment_key,hotel_key,country,booking_status,is_canceled,lead_time,total_nights,total_guests,adults,children,babies,meal,customer_type,deposit_type,reserved_room_type,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,agent_present,company_present,adr_clean,gross_booking_value,realized_revenue,required_car_parking_spaces,total_of_special_requests,valid_for_ml,invalid_guest_flag,adr_invalid_flag,children_missing_flag
B0000012,20150701,2015-07-01,4,7,2,PRT,Stayed,0,35,4,2.0,2,0.0,0,HB,Transient,No Deposit,D,0,0,0,1,0,145.0,580.0,580.0,0,0,1,0,0,0
B0000013,20150701,2015-07-01,4,7,2,USA,Stayed,0,68,4,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,97.0,388.0,388.0,0,3,1,0,0,0
B0000014,20150701,2015-07-01,4,7,2,ESP,Stayed,0,18,4,3.0,2,1.0,0,HB,Transient,No Deposit,G,0,0,0,1,0,154.77,619.08,619.08,0,1,1,0,0,0
B0000015,20150701,2015-07-01,4,7,2,PRT,Stayed,0,37,4,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,94.71,378.84,378.84,0,0,1,0,0,0
B0000016,20150701,2015-07-01,4,7,2,IRL,Stayed,0,68,4,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,97.0,388.0,388.0,0,3,1,0,0,0
B0000017,20150701,2015-07-01,4,6,2,PRT,Stayed,0,37,4,2.0,2,0.0,0,BB,Contract,No Deposit,E,0,0,0,1,0,97.5,390.0,390.0,0,0,1,0,0,0
B0000018,20150701,2015-07-01,4,7,2,IRL,Stayed,0,12,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,88.2,88.2,88.2,0,0,1,0,0,0
B0000019,20150701,2015-07-01,1,3,2,FRA,Stayed,0,0,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,0,1,107.42,107.42,107.42,0,0,1,0,0,0
B0000020,20150701,2015-07-01,2,4,2,GBR,Stayed,0,7,4,2.0,2,0.0,0,BB,Transient,No Deposit,G,0,0,0,1,0,153.0,612.0,612.0,0,1,1,0,0,0
B0000021,20150701,2015-07-01,4,7,2,GBR,Stayed,0,37,5,1.0,1,0.0,0,BB,Transient,No Deposit,F,0,0,0,1,0,97.29,486.45000000000005,486.45000000000005,0,1,1,0,0,0
B0000022,20150701,2015-07-01,2,4,2,PRT,Stayed,0,72,6,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,84.67,508.02,508.02,0,1,1,0,0,0
B0000023,20150701,2015-07-01,2,4,2,PRT,Stayed,0,72,6,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,84.67,508.02,508.02,0,1,1,0,0,0
B0000024,20150701,2015-07-01,2,4,2,PRT,Stayed,0,72,6,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,99.67,598.02,598.02,0,1,1,0,0,0
B0000025,20150701,2015-07-01,4,6,2,GBR,Stayed,0,127,7,2.0,2,0.0,0,HB,Contract,No Deposit,D,0,0,0,1,0,94.95,664.65,664.65,0,1,1,0,0,0
B0000026,20150701,2015-07-01,4,6,2,PRT,Stayed,0,78,7,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,63.6,445.2,445.2,1,0,1,0,0,0
B0000027,20150701,2015-07-01,4,6,2,IRL,Stayed,0,48,7,2.0,2,0.0,0,BB,Contract,No Deposit,D,0,0,0,1,0,79.5,556.5,556.5,0,0,1,0,0,0
B0000028,20150701,2015-07-01,4,7,2,PRT,Cancelled,1,60,7,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,107.0,749.0,0.0,0,2,1,0,0,0
B0000029,20150701,2015-07-01,4,7,2,PRT,Stayed,0,77,7,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,94.0,658.0,658.0,0,0,1,0,0,0
B0000030,20150701,2015-07-01,4,7,2,PRT,Stayed,0,99,7,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,87.3,611.1,611.1,1,1,1,0,0,0
B0000031,20150701,2015-07-01,2,4,2,UNK,Stayed,0,118,14,1.0,1,0.0,0,BB,Transient,No Deposit,A,0,0,0,0,0,62.0,868.0,868.0,0,2,1,0,0,0
B0000032,20150701,2015-07-01,4,6,2,GBR,Stayed,0,95,15,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,63.86,957.9,957.9,0,0,1,0,0,0
B0000033,20150701,2015-07-01,2,4,2,PRT,Cancelled,1,96,10,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,0,0,108.3,1083.0,0.0,0,2,1,0,0,0
B0000034,20150702,2015-07-02,4,6,2,IRL,Stayed,0,69,6,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,65.5,393.0,393.0,0,0,1,0,0,0
B0000035,20150702,2015-07-02,4,7,2,PRT,Cancelled,1,45,4,3.0,3,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,108.8,435.2,0.0,0,1,1,0,0,0
B0000036,20150702,2015-07-02,4,7,2,PRT,Cancelled,1,40,4,3.0,3,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,108.8,435.2,0.0,0,1,1,0,0,0
B0000037,20150702,2015-07-02,4,7,2,ESP,Stayed,0,15,4,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,98.0,392.0,392.0,0,0,1,0,0,0
B0000038,20150702,2015-07-02,4,7,2,PRT,Stayed,0,36,4,3.0,3,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,108.8,435.2,435.2,0,1,1,0,0,0
B0000039,20150702,2015-07-02,4,7,2,PRT,Cancelled,1,43,4,3.0,3,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,108.8,435.2,0.0,0,0,1,0,0,0
B0000040,20150702,2015-07-02,2,4,2,ROU,Stayed,0,70,5,2.0,2,0.0,0,HB,Transient,No Deposit,E,0,0,0,1,0,137.0,685.0,685.0,0,1,1,0,0,0
B0000041,20150702,2015-07-02,4,7,2,PRT,Cancelled,1,45,5,2.0,2,0.0,0,BB,Transient,No Deposit,G,0,0,0,1,0,117.81,589.05,0.0,0,0,1,0,0,0
B0000042,20150702,2015-07-02,4,6,2,IRL,Stayed,0,45,5,2.0,2,0.0,0,BB,Contract,No Deposit,D,0,0,0,1,0,79.5,397.5,397.5,0,0,1,0,0,0
B0000043,20150702,2015-07-02,2,4,2,ESP,Stayed,0,16,5,2.0,2,0.0,0,BB,Transient,No Deposit,F,0,0,0,0,0,123.0,615.0,615.0,0,0,1,0,0,0
B0000044,20150702,2015-07-02,2,4,2,ROU,Stayed,0,70,5,2.0,2,0.0,0,HB,Transient,No Deposit,E,0,0,0,1,0,137.0,685.0,685.0,0,1,1,0,0,0
B0000045,20150702,2015-07-02,4,7,2,PRT,Stayed,0,107,7,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,110.7,774.9,774.9,0,2,1,0,0,0
B0000046,20150702,2015-07-02,4,7,2,PRT,Cancelled,1,47,7,4.0,2,2.0,0,BB,Transient,No Deposit,G,0,0,0,1,0,153.0,1071.0,0.0,0,0,1,0,0,0
B0000047,20150702,2015-07-02,4,6,2,ESP,Stayed,0,96,7,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,58.95,412.65000000000003,412.65000000000003,0,1,1,0,0,0
B0000048,20150702,2015-07-02,4,6,2,NOR,Stayed,0,113,7,2.0,2,0.0,0,BB,Transient-Party,No Deposit,E,0,0,0,1,0,82.88,580.16,580.16,0,2,1,0,0,0
B0000049,20150702,2015-07-02,4,6,2,GBR,Stayed,0,90,7,2.0,2,0.0,0,HB,Contract,No Deposit,A,0,0,0,1,0,82.35,576.4499999999999,576.4499999999999,0,0,1,0,0,0
B0000050,20150702,2015-07-02,4,7,2,IRL,Stayed,0,50,7,2.0,2,0.0,0,HB,Transient,No Deposit,E,0,0,0,1,0,119.35,835.4499999999999,835.4499999999999,0,1,1,0,0,0
B0000051,20150702,2015-07-02,4,6,2,NOR,Stayed,0,113,7,2.0,2,0.0,0,BB,Transient-Party,No Deposit,D,0,0,0,1,0,67.58,473.06,473.06,0,2,1,0,0,0
B0000052,20150702,2015-07-02,4,6,2,IRL,Stayed,0,93,11,2.0,2,0.0,0,BB,Contract,No Deposit,A,0,0,0,1,0,56.01,616.11,616.11,0,0,1,0,0,0
B0000053,20150702,2015-07-02,4,6,2,OMN,Stayed,0,76,14,2.0,2,0.0,0,BB,Contract,No Deposit,D,0,0,0,1,0,110.7,1549.8,1549.8,0,0,1,0,0,0
B0000054,20150702,2015-07-02,4,7,2,ESP,Stayed,0,3,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,88.2,88.2,88.2,1,0,1,0,0,0
B0000055,20150702,2015-07-02,4,7,2,ARG,Stayed,0,1,1,2.0,2,0.0,0,BB,Transient,No Deposit,H,0,0,0,1,0,147.0,147.0,147.0,1,0,1,0,0,0
B0000056,20150702,2015-07-02,2,4,2,ESP,Stayed,0,1,1,4.0,2,2.0,0,BB,Transient,No Deposit,C,0,0,0,0,0,107.0,107.0,107.0,1,2,1,0,0,0
B0000057,20150702,2015-07-02,2,4,2,PRT,Stayed,0,0,1,2.0,2,0.0,0,BB,Transient,No Deposit,H,0,0,0,0,0,147.0,147.0,147.0,0,0,1,0,0,0
B0000058,20150702,2015-07-02,4,7,2,PRT,Stayed,0,0,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,117.9,117.9,117.9,0,2,1,0,0,0
B0000059,20150702,2015-07-02,2,4,2,PRT,Stayed,0,0,1,2.0,2,0.0,0,BB,Transient,No Deposit,G,0,0,0,0,0,123.0,123.0,123.0,0,0,1,0,0,0
B0000060,20150702,2015-07-02,4,7,2,USA,Stayed,0,14,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,98.0,196.0,196.0,0,1,1,0,0,0
B0000061,20150702,2015-07-02,4,7,2,PRT,Stayed,0,10,2,2.0,2,0.0,0,BB,Transient,No Deposit,G,0,0,0,1,0,117.81,235.62,235.62,0,0,1,0,0,0
B0000062,20150702,2015-07-02,4,7,2,IRL,Stayed,0,5,2,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,135.0,270.0,270.0,1,2,1,0,0,0
B0000063,20150702,2015-07-02,2,4,2,ESP,Stayed,0,17,3,2.0,2,0.0,0,BB,Transient,No Deposit,F,0,0,0,1,0,133.0,399.0,399.0,0,1,1,0,0,0
B0000064,20150702,2015-07-02,4,6,2,IRL,Stayed,0,93,3,2.0,2,0.0,0,BB,Contract,No Deposit,A,0,0,0,1,0,58.95,176.85000000000002,176.85000000000002,0,0,1,0,0,0
B0000065,20150702,2015-07-02,4,7,2,PRT,Cancelled,1,3,3,2.0,2,0.0,0,HB,Transient,No Deposit,A,0,0,0,1,0,136.33,408.99,0.0,0,2,1,0,0,0
B0000066,20150703,2015-07-03,4,7,2,USA,Stayed,0,10,2,4.0,2,2.0,0,BB,Transient,No Deposit,G,0,0,0,1,0,153.0,306.0,306.0,1,0,1,0,0,0
B0000067,20150703,2015-07-03,4,7,2,ESP,Stayed,0,3,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,110.5,221.0,221.0,0,0,1,0,0,0
B0000068,20150703,2015-07-03,4,7,2,POL,Stayed,0,51,2,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,97.0,194.0,194.0,0,0,1,0,0,0
B0000069,20150703,2015-07-03,4,6,2,PRT,Cancelled,1,71,2,3.0,3,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,110.3,220.6,0.0,0,2,1,0,0,0
B0000070,20150703,2015-07-03,4,7,2,PRT,Cancelled,1,63,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,82.0,164.0,0.0,0,2,1,0,0,0
B0000071,20150703,2015-07-03,4,7,2,PRT,Cancelled,1,62,2,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,97.0,194.0,0.0,0,1,1,0,0,0
B0000072,20150703,2015-07-03,4,7,2,PRT,Cancelled,1,101,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,73.8,147.6,0.0,0,1,1,0,0,0
B0000073,20150703,2015-07-03,4,6,2,PRT,Stayed,0,2,2,2.0,2,0.0,0,HB,Transient,No Deposit,A,0,0,0,1,0,91.5,183.0,183.0,0,0,1,0,0,0
B0000074,20150703,2015-07-03,4,7,2,ESP,Stayed,0,15,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,114.5,229.0,229.0,0,0,1,0,0,0
B0000075,20150703,2015-07-03,4,7,2,PRT,Cancelled,1,51,2,3.0,3,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,110.3,220.6,0.0,0,0,1,0,0,0
B0000076,20150703,2015-07-03,4,7,2,ESP,Stayed,0,3,3,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,90.9,272.70000000000005,272.70000000000005,1,0,1,0,0,0
B0000077,20150703,2015-07-03,4,7,2,PRT,Cancelled,1,48,3,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,123.0,369.0,0.0,0,0,1,0,0,0
B0000078,20150703,2015-07-03,4,7,2,PRT,Stayed,0,2,4,1.0,1,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,122.0,488.0,488.0,0,0,1,0,0,0
B0000079,20150703,2015-07-03,4,6,2,DEU,Stayed,0,72,4,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,110.7,442.8,442.8,1,0,1,0,0,0
B0000080,20150703,2015-07-03,4,6,2,PRT,Stayed,0,81,8,3.0,3,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,85.86,686.88,686.88,0,0,1,0,0,0
B0000081,20150703,2015-07-03,4,6,2,FRA,Stayed,0,99,9,2.0,2,0.0,0,BB,Contract,No Deposit,A,0,0,0,1,0,58.95,530.5500000000001,530.5500000000001,0,0,1,0,0,0
B0000082,20150703,2015-07-03,4,6,2,PRT,Cancelled,1,368,10,2.0,2,0.0,0,BB,Contract,No Deposit,A,0,0,0,1,0,55.68,556.8,0.0,0,0,1,0,0,0
B0000083,20150703,2015-07-03,4,6,2,GBR,Stayed,0,364,10,2.0,2,0.0,0,BB,Contract,No Deposit,A,0,0,0,1,0,55.68,556.8,556.8,0,0,1,0,0,0
B0000084,20150703,2015-07-03,2,4,2,PRT,Cancelled,1,81,10,2.0,2,0.0,0,HB,Transient,No Deposit,A,0,0,0,1,0,124.0,1240.0,0.0,0,1,1,0,0,0
B0000085,20150703,2015-07-03,4,6,2,GBR,Stayed,0,99,10,2.0,2,0.0,0,HB,Contract,No Deposit,E,0,0,0,1,0,111.15,1111.5,1111.5,0,0,1,0,0,0
B0000086,20150703,2015-07-03,4,6,2,GBR,Stayed,0,324,14,2.0,2,0.0,0,HB,Contract,No Deposit,E,0,0,0,1,0,134.73,1886.2199999999998,1886.2199999999998,0,0,1,0,0,0
B0000087,20150703,2015-07-03,4,7,2,GBR,Stayed,0,69,14,2.0,2,0.0,0,BB,Transient,No Deposit,F,0,0,0,1,0,92.45,1294.3,1294.3,0,1,1,0,0,0
B0000088,20150703,2015-07-03,4,6,2,PRT,Cancelled,1,79,21,3.0,2,1.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,108.73,2283.33,0.0,0,2,1,0,0,0
B0000089,20150703,2015-07-03,4,7,2,GBR,Stayed,0,12,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,73.8,73.8,73.8,0,0,1,0,0,0
B0000090,20150703,2015-07-03,4,7,2,PRT,Stayed,0,9,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,98.0,98.0,98.0,1,2,1,0,0,0
B0000091,20150703,2015-07-03,4,7,2,ESP,Stayed,0,1,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,131.0,131.0,131.0,0,1,1,0,0,0
B0000092,20150703,2015-07-03,4,7,2,PRT,Stayed,0,21,1,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,123.0,123.0,123.0,0,0,1,0,0,0
B0000093,20150703,2015-07-03,4,7,2,USA,Stayed,0,9,1,2.0,2,0.0,0,BB,Transient,No Deposit,C,0,0,0,1,0,94.71,94.71,94.71,0,0,1,0,0,0
B0000094,20150703,2015-07-03,4,7,2,BEL,Stayed,0,109,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,123.0,123.0,123.0,0,2,1,0,0,0
B0000095,20150703,2015-07-03,4,7,2,PRT,Cancelled,1,109,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,123.0,246.0,0.0,0,1,1,0,0,0
B0000096,20150703,2015-07-03,4,7,2,PRT,Cancelled,1,72,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,73.8,147.6,0.0,0,1,1,0,0,0
B0000097,20150703,2015-07-03,4,7,2,PRT,Cancelled,1,63,7,2.0,2,0.0,0,BB,Transient,No Deposit,F,0,0,0,1,0,117.0,819.0,0.0,0,1,1,0,0,0
B0000098,20150703,2015-07-03,4,6,2,ESP,Stayed,0,63,7,3.0,3,0.0,0,HB,Transient,No Deposit,E,0,0,0,1,0,196.54,1375.78,1375.78,0,1,1,0,0,0
B0000099,20150703,2015-07-03,4,7,2,PRT,Stayed,0,101,7,3.0,2,1.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,99.3,695.1,695.1,1,2,1,0,0,0
B0000100,20150703,2015-07-03,2,4,2,DEU,Stayed,0,102,7,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,90.95,636.65,636.65,0,0,1,0,0,0
B0000101,20150704,2015-07-04,2,4,2,ESP,Stayed,0,4,3,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,92.67,278.01,278.01,0,1,1,0,0,0
B0000102,20150704,2015-07-04,4,6,2,FRA,Stayed,0,98,3,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,71.55,214.64999999999998,214.64999999999998,1,0,1,0,0,0
B0000103,20150704,2015-07-04,4,6,2,FRA,Stayed,0,92,6,3.0,1,2.0,0,BB,Transient,No Deposit,F,0,0,0,1,0,96.49,578.9399999999999,578.9399999999999,0,2,1,0,0,0
B0000104,20150704,2015-07-04,4,7,2,PRT,Stayed,0,95,6,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,85.8,514.8,514.8,1,2,1,0,0,0
B0000105,20150704,2015-07-04,4,7,2,PRT,Stayed,0,102,7,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,96.3,674.1,674.1,0,1,1,0,0,0
B0000106,20150704,2015-07-04,4,7,2,PRT,Cancelled,1,26,7,4.0,2,2.0,0,BB,Transient,No Deposit,H,0,0,0,1,0,163.0,1141.0,0.0,0,0,1,0,0,0
B0000107,20150704,2015-07-04,2,4,2,PRT,Cancelled,1,73,7,3.0,3,0.0,0,HB,Transient,No Deposit,D,0,0,0,1,0,172.0,1204.0,0.0,0,1,1,0,0,0
B0000108,20150704,2015-07-04,4,7,2,PRT,Cancelled,1,102,7,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,110.7,774.9,0.0,0,1,1,0,0,0
B0000109,20150704,2015-07-04,4,6,2,PRT,Stayed,0,115,7,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,58.95,412.65000000000003,412.65000000000003,0,1,1,0,0,0
B0000110,20150704,2015-07-04,4,7,2,PRT,Stayed,0,102,7,3.0,2,0.0,1,BB,Transient,No Deposit,A,0,0,0,1,0,73.8,516.6,516.6,0,2,1,0,0,0
B0000111,20150704,2015-07-04,4,7,2,CHE,Stayed,0,86,7,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,97.0,679.0,679.0,0,2,1,0,0,0
B0000112,20150704,2015-07-04,4,7,2,PRT,Stayed,0,78,7,3.0,2,0.0,1,HB,Transient,No Deposit,E,0,0,0,1,0,139.0,973.0,973.0,0,2,1,0,0,0
B0000113,20150704,2015-07-04,4,7,2,GBR,Stayed,0,52,7,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,67.24,470.67999999999995,470.67999999999995,0,0,1,0,0,0
B0000114,20150704,2015-07-04,4,7,2,PRT,Stayed,0,29,8,3.0,3,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,116.5,932.0,932.0,0,1,1,0,0,0
B0000115,20150704,2015-07-04,4,7,2,PRT,Cancelled,1,101,8,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,96.3,770.4,0.0,0,1,1,0,0,0
B0000116,20150704,2015-07-04,4,7,2,PRT,Stayed,0,109,8,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,123.0,984.0,984.0,0,1,1,0,0,0
B0000117,20150704,2015-07-04,4,6,2,GBR,Stayed,0,92,10,2.0,2,0.0,0,BB,Contract,No Deposit,D,0,0,0,1,0,71.55,715.5,715.5,0,1,1,0,0,0
B0000118,20150704,2015-07-04,4,6,2,PRT,Stayed,0,92,10,2.0,2,0.0,0,BB,Contract,No Deposit,D,0,0,0,1,0,71.55,715.5,715.5,0,1,1,0,0,0
B0000119,20150704,2015-07-04,2,4,2,PRT,Stayed,0,79,10,3.0,2,1.0,0,HB,Transient,No Deposit,D,0,0,0,1,0,149.0,1490.0,1490.0,0,1,1,0,0,0
B0000120,20150704,2015-07-04,4,7,2,PRT,Stayed,0,2,1,4.0,2,2.0,0,BB,Transient,No Deposit,H,0,0,0,1,0,163.0,163.0,163.0,1,0,1,0,0,0
B0000121,20150704,2015-07-04,4,6,2,PRT,Stayed,0,30,1,2.0,2,0.0,0,BB,Contract,No Deposit,D,0,0,0,1,0,79.5,79.5,79.5,0,0,1,0,0,0
B0000122,20150704,2015-07-04,4,7,2,PRT,Cancelled,1,51,1,1.0,1,0.0,0,HB,Transient,No Deposit,A,0,0,0,1,0,105.0,105.0,0.0,0,0,1,0,0,0
B0000123,20150704,2015-07-04,2,4,2,PRT,Cancelled,1,36,1,1.0,1,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,123.0,123.0,0.0,0,0,1,0,0,0
B0000124,20150704,2015-07-04,4,7,2,PRT,Cancelled,1,73,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,73.8,73.8,0.0,0,2,1,0,0,0
B0000125,20150704,2015-07-04,4,7,2,PRT,Cancelled,1,33,1,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,113.0,113.0,0.0,0,0,1,0,0,0
B0000126,20150704,2015-07-04,2,2,2,PRT,Stayed,0,32,1,4.0,4,0.0,0,FB,Transient,No Deposit,H,0,0,0,0,0,0.0,0.0,0.0,0,1,1,0,0,0
B0000127,20150704,2015-07-04,4,7,2,ESP,Stayed,0,8,1,2.0,2,0.0,0,BB,Transient,No Deposit,E,0,0,0,1,0,123.0,123.0,123.0,0,0,1,0,0,0
B0000128,20150704,2015-07-04,4,7,2,FRA,Stayed,0,100,2,2.0,2,0.0,0,BB,Transient-Party,No Deposit,A,0,0,0,1,0,73.8,147.6,147.6,1,1,1,0,0,0
B0000129,20150704,2015-07-04,4,7,2,PRT,Stayed,0,1,2,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,114.5,229.0,229.0,0,0,1,0,0,0
B0000130,20150704,2015-07-04,4,7,2,FRA,Stayed,0,100,2,2.0,2,0.0,0,BB,Transient-Party,No Deposit,A,0,0,0,1,0,73.8,147.6,147.6,0,2,1,0,0,0
B0000131,20150704,2015-07-04,4,7,2,FRA,Stayed,0,100,2,2.0,2,0.0,0,BB,Transient-Party,No Deposit,A,0,0,0,1,0,73.8,147.6,147.6,0,1,1,0,0,0
B0000132,20150705,2015-07-05,4,7,2,ESP,Stayed,0,9,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,88.2,88.2,88.2,0,1,1,0,0,0
B0000133,20150705,2015-07-05,4,7,2,PRT,Cancelled,1,5,1,2.0,2,0.0,0,BB,Transient,No Deposit,D,0,0,0,1,0,97.0,97.0,0.0,0,0,1,0,0,0
B0000134,20150705,2015-07-05,4,7,2,ESP,Stayed,0,0,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,85.1,85.1,85.1,0,0,1,0,0,0
B0000135,20150705,2015-07-05,4,7,2,DEU,Stayed,0,9,1,1.0,1,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,89.0,89.0,89.0,0,0,1,0,0,0
B0000136,20150705,2015-07-05,4,7,2,PRT,Stayed,0,2,1,1.0,1,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,80.1,80.1,80.1,0,0,1,0,0,0
B0000137,20150705,2015-07-05,4,7,2,PRT,Stayed,0,2,1,2.0,2,0.0,0,BB,Transient,No Deposit,A,0,0,0,1,0,98.0,98.0,98.0,0,0,1,0,0,0
